datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2022/05/02 18:06:00,AQUA_M-T,Venezuela,Guarico,Mellado,,1,0,0.3,9.35492,-66.90091,8.2
2022/05/02 18:06:00,AQUA_M-T,Venezuela,Anzoategui,Cajigal,,1,0,0.8,9.51744,-65.19746,14.3
2022/05/02 18:04:00,AQUA_M-T,Colombia,Vichada,Santa Rosalia,,2,0,0.2,5.43161,-70.47295,14.8
2022/05/02 18:06:00,AQUA_M-T,Venezuela,Anzoategui,Aragua,,2,0,0.5,9.52086,-64.79034,54.7
2022/05/02 18:06:00,AQUA_M-T,Venezuela,Guarico,Monagas,,2,0,0.5,9.61598,-66.48594,50.1
2022/05/02 18:04:00,AQUA_M-T,Colombia,Vichada,La Primavera,,2,0,0.1,5.84636,-69.83117,17.5
2022/05/02 18:06:00,AQUA_M-T,Venezuela,Guarico,Monagas,,2,0,0.4,9.61965,-66.49222,39.1
2022/05/02 18:06:00,AQUA_M-T,Venezuela,Guarico,Monagas,,2,0,0.5,9.62103,-66.48203,19.6
2022/05/02 17:58:00,AQUA_M-T,Bolivia,Santa Cruz,Sara,,3,0,0.1,-16.7438,-64.01853,8.5
2022/05/02 18:00:00,AQUA_M-T,Bolivia,El Beni,Yacuma,,10,3,0.5,-12.27164,-65.81152,8.8
2022/05/02 18:06:00,AQUA_M-T,Venezuela,Anzoategui,Monagas,,1,0,1,8.01708,-64.69418,17
2022/05/02 18:06:00,AQUA_M-T,Venezuela,Barinas,Arismendi,,1,0,0.3,8.31005,-67.84599,11.7
2022/05/03 18:36:00,AQUA_M-T,Chile,Bio-Bio,Nuble,,7,0,0.8,-36.59839,-72.3366,13.9
2022/05/03 18:36:00,AQUA_M-T,Chile,Araucania,Malleco,,5,0,0.2,-37.95801,-72.17583,10.1
2022/05/02 16:22:00,AQUA_M-T,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,0,0,0.3,-10.54029,-49.83203,151
2022/05/02 16:22:00,AQUA_M-T,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,0,0,0.3,-10.54182,-49.8279,144.9
2022/05/02 16:22:00,AQUA_M-T,Brasil,TOCANTINS,MATEIROS,Cerrado,8,0,0.7,-10.55838,-46.34019,16.4
2022/05/02 16:22:00,AQUA_M-T,Brasil,TOCANTINS,PONTE ALTA DO TOCANTINS,Cerrado,0,0,0.3,-10.96471,-47.38372,171.4
2022/05/02 16:22:00,AQUA_M-T,Brasil,TOCANTINS,PONTE ALTA DO TOCANTINS,Cerrado,0,0,0.3,-10.96619,-47.37852,174.7
2022/05/02 16:22:00,AQUA_M-T,Brasil,TOCANTINS,PONTE ALTA DO TOCANTINS,Cerrado,0,0,0.2,-10.96922,-47.40423,29.2
2022/05/02 16:22:00,AQUA_M-T,Brasil,TOCANTINS,PARANA,Cerrado,8,0,0.5,-12.57103,-47.93666,38.5
2022/05/02 16:24:00,AQUA_M-T,Brasil,MARANHAO,ACAILANDIA,Amazonia,2,0.7,0,-4.69251,-47.81294,34.2
2022/05/02 16:24:00,AQUA_M-T,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,4,0.6,0.2,-5.80949,-44.96272,32
2022/05/02 16:24:00,AQUA_M-T,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,4,0.6,0.2,-5.81325,-44.96954,10.9
2022/05/02 16:24:00,AQUA_M-T,Brasil,MARANHAO,GRAJAU,Cerrado,2,0.4,0.2,-6.0226,-46.26233,17.1
2022/05/02 16:24:00,AQUA_M-T,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,6,0,0.4,-6.13175,-45.45846,23.1
2022/05/02 16:24:00,AQUA_M-T,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,4,0.6,0.2,-5.81139,-44.9557,25.1
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,SENHOR DO BONFIM,Caatinga,0,0,1,-10.46841,-40.07926,17.2
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,MONTE SANTO,Caatinga,2,0,1,-10.25072,-39.65145,8.2
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,MIGUEL CALMON,Caatinga,0,0,0.6,-11.41189,-40.84597,9.8
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,AMERICA DOURADA,Caatinga,3,0,1,-11.43584,-41.61734,12.5
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,AMERICA DOURADA,Caatinga,3,0,1,-11.43724,-41.62764,14.9
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,RIACHAO DAS NEVES,Cerrado,3,0,0.9,-11.44951,-45.24539,131.2
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,RIACHAO DAS NEVES,Cerrado,2,0,1,-11.45174,-45.26336,57.3
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,ALAGOINHAS,Caatinga,0,0,0.8,-11.99875,-38.44624,7.4
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,SEABRA,Caatinga,2,0,1,-12.54395,-41.74123,13.4
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,RUY BARBOSA,Caatinga,4,0,0.8,-12.13752,-40.57529,13.6
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,BOM JESUS DA LAPA,Caatinga,8,0,1,-12.99349,-43.17067,41.7
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,RIO DO PIRES,Caatinga,16,0,1,-13.25926,-41.92044,7.5
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,IGAPORA,Caatinga,15,0,1,-13.89264,-42.62693,10.4
2022/05/02 16:22:00,AQUA_M-T,Brasil,GOIAS,FLORES DE GOIAS,Cerrado,12,0,1,-14.27728,-47.01007,26.3
2022/05/02 16:22:00,AQUA_M-T,Brasil,BAHIA,CORDEIROS,Caatinga,16,0,1,-14.97525,-41.87579,13.3
2022/05/02 16:20:00,AQUA_M-T,Brasil,GOIAS,IPAMERI,Cerrado,19,0,1,-17.1614,-47.67029,62.5
2022/05/02 16:20:00,AQUA_M-T,Brasil,BAHIA,ALCOBACA,Mata Atlantica,-999,0,0.9,-17.51104,-39.30407,6.1
2022/05/02 16:20:00,AQUA_M-T,Brasil,GOIAS,IPAMERI,Cerrado,19,0,1,-17.17022,-47.67347,73.4
2022/05/02 16:20:00,AQUA_M-T,Brasil,BAHIA,CARAVELAS,Mata Atlantica,1,0,0.7,-17.51161,-39.97122,11.5
2022/05/02 16:20:00,AQUA_M-T,Brasil,BAHIA,CARAVELAS,Mata Atlantica,2,0,0.7,-17.51589,-39.96511,9.5
2022/05/02 16:20:00,AQUA_M-T,Brasil,MINAS GERAIS,ITAMARANDIBA,Mata Atlantica,16,0,0.8,-17.9104,-42.67184,54.2
2022/05/02 16:20:00,AQUA_M-T,Brasil,MINAS GERAIS,ITAMARANDIBA,Mata Atlantica,16,0,0.6,-17.91213,-42.68611,45.3
2022/05/02 16:20:00,AQUA_M-T,Brasil,ESPIRITO SANTO,SOORETAMA,Mata Atlantica,16,0,0.6,-19.11186,-40.09948,7.8
2022/05/02 16:20:00,AQUA_M-T,Brasil,MINAS GERAIS,MATOZINHOS,Cerrado,18,0,1,-19.57943,-44.05151,42.5
2022/05/02 16:20:00,AQUA_M-T,Brasil,MINAS GERAIS,MATOZINHOS,Cerrado,18,0,1,-19.58211,-44.06478,54.1
